Country Name;Short Name;year;Record;Built-up Land;Cropland;Fishing Grounds;Forest Products;Grazing Land;Total;Data Quality Score;isoa2
United States of America;United States;1997;BiocapPerCap;0,067595437;1,456859917;0,360513974;1,81780587;0,311702288;4,014477486;3A;US
United States of America;United States;1998;BiocapPerCap;0,068798642;1,457593591;0,356045039;1,795143746;0,308342951;3,98592397;3A;US
United States of America;United States;1999;BiocapPerCap;0,068009668;1,414073631;0,351862738;1,771927562;0,305135847;3,911009446;3A;US
United States of America;United States;2000;BiocapPerCap;0,069248137;1,423715326;0,348335688;1,752247013;0,302683061;3,896229225;3A;US
United States of America;United States;2001;BiocapPerCap;0,066348248;1,35049274;0,345343738;1,734258007;0,300687175;3,797129908;3A;US
United States of America;United States;2002;BiocapPerCap;0,064221264;1,241852121;0,342142645;1,721995448;0,3032271;3,673438578;3A;US
United States of America;United States;2003;BiocapPerCap;0,068158846;1,334017672;0,337596031;1,701727468;0,296544719;3,738044736;3A;US
United States of America;United States;2004;BiocapPerCap;0,076893265;1,452638699;0,334100239;1,686453338;0,295363485;3,845449026;3A;US
United States of America;United States;2005;BiocapPerCap;0,073960572;1,369124853;0,329578372;1,670671496;0,293572244;3,736907537;3A;US
United States of America;United States;2006;BiocapPerCap;0,072171026;1,286152382;0,325930506;1,663015062;0,292154436;3,639423413;3A;US
United States of America;United States;2007;BiocapPerCap;0,073665011;1,351430643;0,32253938;1,648697643;0,286933778;3,683266454;3A;US
United States of America;United States;2008;BiocapPerCap;0,076739144;1,353617714;0,346242539;1,635131347;0,290371636;3,70210238;3A;US
United States of America;United States;2009;BiocapPerCap;0,082536802;1,40907823;0,344699445;1,617616648;0,289133201;3,743064325;3A;US
United States of America;United States;2010;BiocapPerCap;0,080042515;1,337704523;0,340782105;1,609809969;0,286128225;3,654467336;3A;US
United States of America;United States;2011;BiocapPerCap;0,075287252;1,214662572;0,336187697;1,595721772;0,282275291;3,504134584;3A;US
United States of America;United States;2012;BiocapPerCap;0,07525623;1,231663745;0,33341456;1,579567943;0,280990471;3,500892949;3A;US
United States of America;United States;2013;BiocapPerCap;0,081472803;1,299582737;0,332160803;1,564862902;0,279587756;3,557667001;3A;US
United States of America;United States;2014;BiocapPerCap;0,083459448;1,341757927;0,330624398;1,549343419;0,27857943;3,583764622;3A;US
United Kingdom;United Kingdom;1961;BiocapPerCap;0,067963963;0,296552753;0,383491075;0,104132058;0,16897078;1,021110629;3A;GB
United Kingdom;United Kingdom;1962;BiocapPerCap;0,07608014;0,332048335;0,379852921;0,10427245;0,166599181;1,058853028;3A;GB
United Kingdom;United Kingdom;1963;BiocapPerCap;0,075147413;0,327802756;0,37580243;0,104548584;0,163972597;1,04727378;3A;GB
United Kingdom;United Kingdom;1964;BiocapPerCap;0,079123541;0,345760908;0,372335663;0,105094925;0,16132867;1,063643706;3A;GB
United Kingdom;United Kingdom;1965;BiocapPerCap;0,086806141;0,375757729;0,368558776;0,106040565;0,158519193;1,095682404;3A;GB
United Kingdom;United Kingdom;1966;BiocapPerCap;0,081687926;0,35071234;0,366218586;0,107051197;0,157257652;1,062927702;3A;GB
United Kingdom;United Kingdom;1967;BiocapPerCap;0,092333104;0,393403934;0,363169342;0,107638336;0,156141153;1,112685869;3A;GB
United Kingdom;United Kingdom;1968;BiocapPerCap;0,081751502;0,345029216;0,360702415;0,10741693;0,153937728;1,048837791;3A;GB
United Kingdom;United Kingdom;1969;BiocapPerCap;0,088828616;0,367116545;0,356667379;0,107934949;0,152790951;1,07333844;3A;GB
United Kingdom;United Kingdom;1970;BiocapPerCap;0,087315429;0,356460622;0,356089644;0,107613894;0,147144938;1,054624527;3A;GB
United Kingdom;United Kingdom;1971;BiocapPerCap;0,093357448;0,381317013;0,354428846;0,10875265;0,146160274;1,084016231;3A;GB
United Kingdom;United Kingdom;1972;BiocapPerCap;0,095575299;0,389018834;0,354741368;0,110947903;0,145377844;1,095661248;3A;GB
United Kingdom;United Kingdom;1973;BiocapPerCap;0,094277026;0,379981394;0,35186635;0,112768825;0,14403073;1,082924324;3A;GB
United Kingdom;United Kingdom;1974;BiocapPerCap;0,099021995;0,397930274;0,352544087;0,112963132;0,143757076;1,106216564;3A;GB
United Kingdom;United Kingdom;1975;BiocapPerCap;0,089528431;0,349368896;0,351998653;0,114200897;0,144683986;1,049780863;3A;GB
United Kingdom;United Kingdom;1976;BiocapPerCap;0,08044602;0,314639078;0,35134603;0,115543326;0,144075255;1,006049709;3A;GB
United Kingdom;United Kingdom;1977;BiocapPerCap;0,103617397;0,406597392;0,352890295;0,11660285;0,143627036;1,12333497;3A;GB
United Kingdom;United Kingdom;1978;BiocapPerCap;0,101529609;0,399191277;0,353423538;0,116420135;0,14358963;1,114154188;3A;GB
United Kingdom;United Kingdom;1979;BiocapPerCap;0,109734933;0,425074359;0,354048713;0,117476984;0,14447549;1,150810479;3A;GB
United Kingdom;United Kingdom;1980;BiocapPerCap;0,118553478;0,464952878;0,354019505;0,118133443;0,143890251;1,199549556;3A;GB
United Kingdom;United Kingdom;1981;BiocapPerCap;0,120031124;0,469676352;0,35463891;0,11917207;0,142609644;1,206128101;3A;GB
United Kingdom;United Kingdom;1982;BiocapPerCap;0,135262498;0,529358747;0,352592895;0,120436965;0,141323592;1,278974697;3A;GB
United Kingdom;United Kingdom;1983;BiocapPerCap;0,126591484;0,493958248;0,351503424;0,125506087;0,140312579;1,23787182;3A;GB
United Kingdom;United Kingdom;1984;BiocapPerCap;0,159936954;0,6251887;0,34889685;0,126656634;0,13895137;1,399630509;3A;GB
United Kingdom;United Kingdom;1985;BiocapPerCap;0,141106592;0,556467852;0,346593281;0,127243655;0,137043147;1,308454527;3A;GB
United Kingdom;United Kingdom;1986;BiocapPerCap;0,152361533;0,595187855;0,343561852;0,127996217;0,135894065;1,355001523;3A;GB
United Kingdom;United Kingdom;1987;BiocapPerCap;0,14392063;0,560525496;0,342384844;0,12941866;0,135320299;1,31156993;3A;GB
United Kingdom;United Kingdom;1988;BiocapPerCap;0,142285303;0,548851773;0,340822269;0,128975795;0,138411848;1,299346987;3A;GB
United Kingdom;United Kingdom;1989;BiocapPerCap;0,151308871;0,566697526;0,339511592;0,128566444;0,138185835;1,324270268;3A;GB
United Kingdom;United Kingdom;1990;BiocapPerCap;0,154485847;0,56982791;0,339225551;0,127688328;0,137684159;1,328911795;3A;GB
United Kingdom;United Kingdom;1991;BiocapPerCap;0,158135966;0,582192276;0,337801499;0,128048476;0,136968416;1,343146633;3A;GB
United Kingdom;United Kingdom;1992;BiocapPerCap;0,158311927;0,581743117;0,339994996;0,129981562;0,137719168;1,347750771;3A;GB
United Kingdom;United Kingdom;1993;BiocapPerCap;0,141194095;0,517865589;0,338882567;0,130527324;0,137130374;1,265599948;3A;GB
United Kingdom;United Kingdom;1994;BiocapPerCap;0,147819664;0,541148799;0,337318833;0,130897443;0,136360048;1,293544787;3A;GB
United Kingdom;United Kingdom;1995;BiocapPerCap;0,149296497;0,545530623;0,335368892;0,13105212;0,135435033;1,296683165;3A;GB
United Kingdom;United Kingdom;1996;BiocapPerCap;0,165523465;0,603691649;0,333931232;0,13153037;0,134718279;1,369394994;3A;GB
United Kingdom;United Kingdom;1997;BiocapPerCap;0,159348072;0,580082217;0,332779062;0,131587827;0,134117757;1,337914935;3A;GB
United Kingdom;United Kingdom;1998;BiocapPerCap;0,160919659;0,584709342;0,331735373;0,131705529;0,13356185;1,342631754;3A;GB
United Kingdom;United Kingdom;1999;BiocapPerCap;0,160832101;0,58330124;0,330709274;0,13167764;0,133013871;1,339534127;3A;GB
United Kingdom;United Kingdom;2000;BiocapPerCap;0,162170686;0,587060415;0,32992489;0,131755482;0,13256385;1,343475322;3A;GB
United Kingdom;United Kingdom;2001;BiocapPerCap;0,136624368;0,493578378;0,32925184;0,13123165;0,132257327;1,222943563;3A;GB
United Kingdom;United Kingdom;2002;BiocapPerCap;0,160767974;0,579624;0,32802621;0,131000737;0,131729047;1,331147967;3A;GB
United Kingdom;United Kingdom;2003;BiocapPerCap;0,157543592;0,566849499;0,325155103;0,130021731;0,130540424;1,310110349;3A;GB
United Kingdom;United Kingdom;2004;BiocapPerCap;0,149156506;0,535587908;0,322966359;0,129294473;0,129626304;1,26663155;3A;GB
United Kingdom;United Kingdom;2005;BiocapPerCap;0,149261465;0,534883417;0,319485;0,128410503;0,128194001;1,260234386;3A;GB
United Kingdom;United Kingdom;2006;BiocapPerCap;0,144473044;0,516680954;0,316544584;0,127801612;0,126979455;1,232479649;3A;GB
United Kingdom;United Kingdom;2007;BiocapPerCap;0,139458343;0,489996857;0,313580474;0,126823842;0,124379252;1,194238767;3A;GB
United Kingdom;United Kingdom;2008;BiocapPerCap;0,159157114;0,549300468;0,311716717;0,125837526;0,124438815;1,270450641;3A;GB
United Kingdom;United Kingdom;2009;BiocapPerCap;0,149195891;0,504387749;0,310464182;0,124534048;0,12102807;1,20960994;3A;GB
United Kingdom;United Kingdom;2010;BiocapPerCap;0,154768363;0,511923186;0,307131512;0,124001715;0,119402555;1,217227332;3A;GB
United Kingdom;United Kingdom;2011;BiocapPerCap;0,150234301;0,498040522;0,303281547;0,123608117;0,116910631;1,192075119;3A;GB
United Kingdom;United Kingdom;2012;BiocapPerCap;0,130951081;0,437754257;0,301149799;0,123074825;0,11558066;1,108510621;3A;GB
United Kingdom;United Kingdom;2013;BiocapPerCap;0,131303924;0,43805774;0,300439841;0,12266278;0,115764493;1,108228779;3A;GB
United Kingdom;United Kingdom;2014;BiocapPerCap;0,15563516;0,512192186;0,2994725;0,122174043;0,115578939;1,205052827;3A;GB
Argentina;Argentina;1961;BiocapPerCap;0,04669184;1,132750259;3,473075845;1,6230021;4,126934537;10,40245458;3A;AR
Argentina;Argentina;1962;BiocapPerCap;0,043185272;1,062254786;3,410485372;1,598215869;3,988341652;10,10248295;3A;AR
Argentina;Argentina;1963;BiocapPerCap;0,05235804;1,29472015;3,346433485;1,572123353;3,849760562;10,11539559;3A;AR
Argentina;Argentina;1964;BiocapPerCap;0,056696114;1,408040858;3,288725265;1,548172756;3,720714098;10,02234909;3A;AR
